港島東,鰂魚涌,鯉景灣 D段 安明閣 14樓 B室,N/A,17/07/2024,2房,$658 萬,520 呎,"$12,654",N/A
港島東,鰂魚涌,太古城 海景花園(東) 美菊閣 高層 H室,N/A,17/07/2024,3房,"$38,000","1,114 呎",$34,N/A
港島東,鰂魚涌,太古城 金殿臺 燕宮閣 26樓 F室,N/A,17/07/2024,3房,$988 萬,716 呎,"$13,799",N/A
港島東,鰂魚涌,嘉亨灣 5座 28樓 E室,N/A,17/07/2024,2房,$850 萬,494 呎,"$17,206",露台 | | 工作平台
港島東,鰂魚涌,太古城 海景花園(西) 綠楊閣 20樓 E室,N/A,17/07/2024,3房,"$1,408 萬",922 呎,"$15,271",N/A
港島東,鰂魚涌,英麗閣 D座 17樓 2室,N/A,16/07/2024,3房,$850 萬,688 呎,"$12,355",N/A
港島東,鰂魚涌,康怡花園 N座 高層 5室,N/A,16/07/2024,3房,"$25,000",616 呎,$41,N/A
港島東,鰂魚涌,金海大廈 8樓 25室,N/A,16/07/2024,-,$535 萬,306 呎,"$17,484",天台
港島東,鰂魚涌,康怡花園 A座 31樓 6室,N/A,16/07/2024,-,"$1,250 萬",738 呎,"$16,938",複式 | | 平台 | | 露台
港島東,鰂魚涌,逸濤灣 三 ( 秋盈軒 ) 高層 C室,N/A,16/07/2024,3房,"$38,000",744 呎,$51,N/A
港島東,鰂魚涌,鯉景灣 B段 逸星閣 中層 E室,N/A,15/07/2024,2房,"$22,500",536 呎,$42,N/A
港島東,鰂魚涌,康怡花園 D座 10樓 6室,N/A,15/07/2024,2房,$510 萬,509 呎,"$10,020",N/A
港島東,鰂魚涌,南豐新邨 3座 12樓 D室,N/A,15/07/2024,3房,$563 萬,516 呎,"$10,911",N/A
港島東,鰂魚涌,康怡花園 G座 中層 7室,N/A,15/07/2024,2房,"$18,800",529 呎,$36,N/A
港島東,鰂魚涌,鯉景灣 C段 怡坤閣 高層 C室,N/A,15/07/2024,2房,"$19,000",494 呎,$38,N/A
港島東,鰂魚涌,太古城 觀海台 南海閣 7樓 D室,N/A,15/07/2024,2房,$690 萬,488 呎,"$14,139",N/A
港島東,鰂魚涌,太古城 海天花園 啟天閣 10樓 B室,N/A,15/07/2024,3房,"$1,068 萬",797 呎,"$13,400",N/A
港島東,鰂魚涌,鯉景灣 A段 觀峰閣 低層 F室,N/A,14/07/2024,2房,"$22,000",485 呎,$45,N/A
港島東,鰂魚涌,太古城 安盛台 興安閣 高層 E室,N/A,13/07/2024,2房,"$26,500",583 呎,$45,天台
港島東,鰂魚涌,嘉亨灣 6座 中層 H室,N/A,13/07/2024,2房,"$22,000",492 呎,$45,N/A
港島東,鰂魚涌,君豪峰 中層 L室,N/A,12/07/2024,1房,"$16,500",297 呎,$56,露台 | | 工作平台
港島東,鰂魚涌,太古城 海天花園 逸天閣 10樓 C室,N/A,12/07/2024,3房,"$1,100 萬",707 呎,"$15,559",N/A
港島東,鰂魚涌,南豐新邨 4座 27樓 B室,N/A,12/07/2024,2房,$460 萬,391 呎,"$11,765",N/A
港島東,鰂魚涌,太古城 星輝台 智星閣 7樓 A室,N/A,12/07/2024,3房,$884 萬,701 呎,"$12,603",N/A
港島東,鰂魚涌,華蘭花園 翠蘭閣 13樓 C室,N/A,12/07/2024,2房,$450 萬,388 呎,"$11,598",N/A
港島東,鰂魚涌,太古城 金殿臺 燕宮閣 3樓 A室,N/A,12/07/2024,3房,$868 萬,747 呎,"$11,620",平台
港島東,鰂魚涌,太古城 高山台 富山閣 中層 D室,N/A,12/07/2024,2房,"$25,000",593 呎,$42,N/A
港島東,鰂魚涌,康怡花園 F座 中層 4室,N/A,11/07/2024,3房,"$20,900",596 呎,$35,N/A
港島東,鰂魚涌,康蕙花園 2座 44樓 E室,N/A,11/07/2024,2房,$680 萬,423 呎,"$16,076",N/A
港島東,鰂魚涌,嘉亨灣 5座 中層 F室,N/A,11/07/2024,2房,"$23,500",498 呎,$47,N/A
港島東,鰂魚涌,君豪峰 33樓 F室,N/A,11/07/2024,2房,$802 萬,451 呎,"$17,783",露台 | | 工作平台
港島東,鰂魚涌,太古城 海景花園(西) 紫樺閣 4樓 B室,N/A,10/07/2024,3房,"$1,288 萬","1,015 呎","$12,690",N/A
港島東,鰂魚涌,太古城 安盛台 興安閣 高層 H室,N/A,10/07/2024,2房,"$18,200",583 呎,$31,N/A
港島東,鰂魚涌,太古城 海天花園 南天閣 23樓 B室,N/A,10/07/2024,3房,"$1,092 萬",680 呎,"$16,059",N/A
港島東,鰂魚涌,君豪峰 高層 F室,N/A,10/07/2024,2房,"$24,000",451 呎,$53,露台 | | 工作平台
港島東,鰂魚涌,鯉景灣 C段 怡茵閣 中層 D室,N/A,10/07/2024,2房,"$21,000",539 呎,$39,N/A
港島東,鰂魚涌,太古城 高山台 鳳山閣 8樓 C室,N/A,10/07/2024,2房,$790 萬,582 呎,"$13,574",N/A
港島東,鰂魚涌,太古城 金殿臺 齊宮閣 22樓 B室,N/A,10/07/2024,3房,"$1,018 萬",702 呎,"$14,501",N/A
港島東,鰂魚涌,嘉亨灣 5座 低層 A室,N/A,10/07/2024,3房,"$30,000",685 呎,$44,N/A
港島東,鰂魚涌,康山花園 2座 21樓 G室,N/A,10/07/2024,3房,$638 萬,592 呎,"$10,777",N/A
港島東,鰂魚涌,嘉亨灣 5座 高層 D室,N/A,10/07/2024,3房,"$33,500",675 呎,$50,N/A
港島東,鰂魚涌,太古城 星輝台 天星閣 高層 E室,N/A,10/07/2024,2房,"$26,000",580 呎,$45,N/A
港島東,鰂魚涌,太古城 海天花園 恆天閣 15樓 D室,N/A,09/07/2024,2房,$890 萬,584 呎,"$15,240",N/A
港島東,鰂魚涌,太古城 觀海台 北海閣 10樓 B室,N/A,09/07/2024,3房,"$1,238 萬",723 呎,"$17,123",N/A
港島東,鰂魚涌,太古城 星輝台 天星閣 9樓 G室,N/A,09/07/2024,3房,"$1,022 萬",707 呎,"$14,455",N/A
港島東,鰂魚涌,康怡花園 C座 26樓 14室,N/A,08/07/2024,2房,$660 萬,526 呎,"$12,548",相鄰特色戶
港島東,鰂魚涌,太古城 高山台 天山閣 6樓 F室,N/A,08/07/2024,2房,$768 萬,536 呎,"$14,328",N/A
